date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:02	2089/2089	---MCZ	200	added ('OK')	text/plain	etag:W/%22615a96e8-3211%22	https://igc-aircon.com/robots.txt		(from )
19:42:02	166286/166286	---M--	200	added ('OK')	text/html	date:Sat,%2021%20May%202022%2016:42:01%20GMT	https://igc-aircon.com/dealer/	D:/Programming/httrack%20mirror/igc/igc-aircon.com/dealer/index.html	(from )
19:42:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2021%20May%202022%2016:42:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Programming/httrack%20mirror/igc/www.googletagmanager.com/gtm.05445.delayed	(from https://igc-aircon.com/dealer/)
19:42:03	2854/2854	---MCZ	200	added ('OK')	text/css	etag:W/%225e004b6f-b26%22	https://igc-aircon.com/bitrix/js/main/core/css/core.min.css?15770776152854	D:/Programming/httrack%20mirror/igc/igc-aircon.com/bitrix/js/main/core/css/core.mine01a.css	(from https://igc-aircon.com/dealer/)
19:42:03	181/181	---M--	200	added ('OK')	text/css	etag:%225f2a4ebf-b5%22	https://igc-aircon.com/local/templates/centino-heat_s2/components/centino/form.heat/contacts4/style.css?1596608191181	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/components/centino/form.heat/contacts4/stylec679.css	(from https://igc-aircon.com/dealer/)
19:42:03	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225ef88f15-d17%22	https://igc-aircon.com/local/templates/centino-heat_s2/vendor/OwlCarousel2-2.3.4/dist/assets/owl.carousel.min.css?15933478613351	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/vendor/OwlCarousel2-2.3.4/dist/assets/owl.carousel.min14f6.css	(from https://igc-aircon.com/dealer/)
19:42:03	1013/1013	---M--	200	added ('OK')	text/css	etag:%225ef88f15-3f5%22	https://igc-aircon.com/local/templates/centino-heat_s2/vendor/OwlCarousel2-2.3.4/dist/assets/owl.theme.default.min.css?15933478611013	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/vendor/OwlCarousel2-2.3.4/dist/assets/owl.theme.default.min98da.css	(from https://igc-aircon.com/dealer/)
19:42:04	11298/11298	---MCZ	200	added ('OK')	text/css	etag:W/%225ef88f17-2c22%22	https://igc-aircon.com/local/templates/centino-heat_s2/css/print.min.css?159334786311298	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/css/print.min1f15.css	(from https://igc-aircon.com/dealer/)
19:42:04	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%225ef88f17-ce35%22	https://igc-aircon.com/local/templates/centino-heat_s2/css/animation/animate.min.css?159334786352789	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/css/animation/animate.min91db.css	(from https://igc-aircon.com/dealer/)
19:42:04	3791/3791	---MCZ	200	added ('OK')	text/css	etag:W/%225ef88f17-ecf%22	https://igc-aircon.com/local/templates/centino-heat_s2/css/animation/animation_ext.min.css?15933478633791	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/css/animation/animation_ext.min9369.css	(from https://igc-aircon.com/dealer/)
19:42:04	1327/1327	---MCZ	200	added ('OK')	text/css	etag:W/%225ef88f17-52f%22	https://igc-aircon.com/local/templates/centino-heat_s2/css/slick.min.css?15933478631327	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/css/slick.min43c1.css	(from https://igc-aircon.com/dealer/)
19:42:05	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225ef88f17-7918%22	https://igc-aircon.com/local/templates/centino-heat_s2/css/fonts/font-awesome/css/font-awesome.min.css?159334786331000	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/css/fonts/font-awesome/css/font-awesome.minf4d1.css	(from https://igc-aircon.com/dealer/)
19:42:05	3213/3213	---MCZ	200	added ('OK')	text/css	etag:W/%225ef88f17-c8d%22	https://igc-aircon.com/local/templates/centino-heat_s2/css/jquery.fancybox.min.css?15933478633213	D:/Programming/httrack%20mirror/igc/igc-aircon.com/local/templates/centino-heat_s2/css/jquery.fancybox.minc84b.css	(from https://igc-aircon.com/dealer/)
